txid	taxo1	taxo2
2052168	Euryarchaeota	Euryarchaeota_Methanomassiliicoccaceae_txid2052168
2052170	Euryarchaeota	Euryarchaeota_Methanoregula_sp_txid2052170
2052180	Planctomycetes	Planctomycetes_Phycisphaerales_fen_1362_txid2052180
2052184	Desulfobacterota	Desulfobacterota_Syntrophales_txid2052184
2052185	Desulfobacterota	Desulfobacterota_Syntrophobacteraceae_bog_1154_txid2052185
2053307	Desulfobacterota	Desulfobacterota_Desulfobulbaceae_txid2053307
2053517	Desulfobacterota	Desulfobacterota_Bdellovibrionales_RIFOXYD1_FULL_55_31_txid2053517
2053614	Desulfobacterota	Desulfobacterota_Smithella_sp_SDB_sulfate1_txid2053614
2053627	Firmicutes-Clostridia	Firmicutes-Clostridia_Syntrophomonas_sp_CSSed10_428R1_txid2053627
2070227	Firmicutes-Clostridia	Firmicutes-Clostridia_Dehalobacter_sp_14DCB1_txid2070227
2070364	Firmicutes-Clostridia	Firmicutes-Clostridia_Dehalobacter_sp_12DCB1_txid2070364
2072416	Euryarchaeota	Euryarchaeota_Methanoperedenaceae_FeB_1_FeB1_22_txid2072416
2073117	Chloroflexota	Chloroflexota_Anaerolineales_K_DeepCast_100m_m2_305_txid2073117
2093367	Desulfobacterota	Desulfobacterota_Desulfarculus_sp_SURF_10_txid2093367
2093811	Firmicutes-Clostridia	Firmicutes-Clostridia_Syntrophomonadaceae_txid2093811
2094027	Bacteroidetes	Bacteroidetes_Balneolia_txid2094027
2094028	Planctomycetes	Planctomycetes_Brocadiaceae_txid2094028
2094121	Spirochaetes	Spirochaetes_Treponema_sp_J25_txid2094121
2099676	Desulfobacterota	Desulfobacterota_Desulfonatronovibrio_sp_T3Sed10_324_txid2099676
2099677	Desulfobacterota	Desulfobacterota_Desulfuromonadaceae_txid2099677
2099678	Desulfobacterota	Desulfobacterota_Desulfuromonadales_GT-UBC1_txid2099678
2109626	Desulfobacterota	Desulfobacterota_Desulfonatronum_sp_SC1_txid2109626
2125990	Desulfobacterota	Desulfobacterota_Pseudodesulfovibrio_hydrargyri_BerOc1_txid2125990
2135459	Desulfobacterota	Desulfobacterota_Geobacter_sp_DSM2909_txid2135459
2202144	Spirochaetes	Spirochaetes_Spirochaetota_GWE2-31-10_2757320495_txid2202144
2212475	Lentisphaerae	Lentisphaerae_Victivallales_SZUA-436_txid2212475
2250272	Coatesbacteria	Coatesbacteria_B130_G9_txid2250272
2268201	Synergistetes	Synergistetes_Synergistales_Syner_03_txid2268201
2282155	Desulfobacterota	Desulfobacterota_Syntrophobacterales_txid2282155
2283629	Desulfobacterota	Desulfobacterota_Pseudodesulfovibrio_sp_S3_txid2283629
2293857	Desulfobacterota	Desulfobacterota_Desulfonatronospira_sp_MSAO_Bac3_txid2293857
2364273	Desulfobacterota	Desulfobacterota_Geobacter_sp_S43_txid2364273
2448604	Lentisphaerae	Lentisphaerae_Lentisphaerales_das_toolconcoct105_txid2448604
2487273	Firmicutes-Clostridia	Firmicutes-Clostridia_Hungateiclostridium_sp_N2K1_txid2487273
2507565	Bacteroidetes	Bacteroidetes_FW215_bin33_txid2507565
2509669	Firmicutes-Clostridia	Firmicutes-Clostridia_Clostridiales_MAG-BB-3_txid2509669
2528041	Euryarchaeota	Euryarchaeota_Methanomassiliicoccus_sp_das_toolmetabat244_txid2528041
2552947	Nitrospirae	Nitrospirae_Nitrospirales_LBB_01_txid2552947
2560027	Firmicutes-Clostridia	Firmicutes-Clostridia_Desulfosporosinus_sp_Sb-LF_txid2560027
2562681	Desulfobacterota	Desulfobacterota_Geobacter_sp_Red111_txid2562681
2569540	Desulfobacterota	Desulfobacterota_Desulfopila_sp_IMCC35004_txid2569540
2569541	Desulfobacterota	Desulfobacterota_Desulfopila_sp_IMCC35005_txid2569541
2569542	Desulfobacterota	Desulfobacterota_Desulfopila_sp_IMCC35006_txid2569542
2570226	Desulfobacterota	Desulfobacterota_Geobacter_sp_Red53_txid2570226
2570227	Desulfobacterota	Desulfobacterota_Geobacter_sp_S62_txid2570227
2575572	Saganbacteria	Saganbacteria_CG08_land_8_20_14_0_20_45_16_txid2575572
2593536	Desulfobacterota	Desulfobacterota_Desulfobacula_bacterium_txid2593536
2593537	Desulfobacterota	Desulfobacterota_Desulfobacula_sp_2757320503_txid2593537
2593640	Desulfobacterota	Desulfobacterota_Desulfovibrio_sp_txid2593640
2597223	Desulfobacterota	Desulfobacterota_Acidulodesulfobacterium_ferriphilum_AP3_txid2597223
2603322	Firmicutes-Clostridia	Firmicutes-Clostridia_Vallitaleaceae_2757320500_txid2603322
2614128	Firmicutes	Firmicutes_Clostridium_txid2614128
2614637	Desulfobacterota	Desulfobacterota_Desulfuromonas_txid2614637
2621639	Firmicutes	Firmicutes_Pelotomaculum_txid2621639
2622240	Desulfobacterota	Desulfobacterota_Desulfopila_sp_txid2622240
2625943	Desulfobacterota	Desulfobacterota_Smithella_txid2625943
2626373	Thermoplasmatota	Thermoplasmatota_Methanomassiliicoccus_sp_txid2626373
2627627	Desulfobacterota	Desulfobacterota_Geobacter_sp_txid2627627
2628036	Euryarchaeota	Euryarchaeota_Methanolinea_txid2628036
2628565	Desulfobacterota	Desulfobacterota_Syntrophorhabdus_txid2628565
2638727	Spirochaetes	Spirochaetes_Treponema_txid2638727
2642396	Desulfobacterota	Desulfobacterota_Desulfobulbus_txid2642396
2644672	Euryarchaeota	Euryarchaeota_Methanosarcina_sp_txid2644672
2648904	Firmicutes	Firmicutes_Syntrophomonas_txid2648904
2649730	Euryarchaeota	Euryarchaeota_Methanoregula_sp_txid2649730
2676560	Desulfobacterota	Desulfobacterota_Syntrophus_sp_txid2676560
